date,year,home_team,away_team,elo_diff,host_advantage,home_is_host,away_is_host,label,tournament
2018-06-28,2018,Japan,Poland,60.27365351727144,0,0,0,A,FIFA World Cup
2018-06-28,2018,Senegal,Colombia,-72.59835004647357,0,0,0,A,FIFA World Cup
2018-06-28,2018,Panama,Tunisia,-39.13541529469376,0,0,0,A,FIFA World Cup
2018-06-28,2018,England,Belgium,13.85520338447759,0,0,0,A,FIFA World Cup
2018-06-30,2018,France,Argentina,40.96915157954959,0,0,0,H,FIFA World Cup
2018-06-30,2018,Uruguay,Portugal,-43.92128628740943,0,0,0,H,FIFA World Cup
2018-07-01,2018,Russia,Spain,-278.00738530513513,1,1,0,D,FIFA World Cup
2018-07-01,2018,Croatia,Denmark,90.05909209553306,0,0,0,D,FIFA World Cup
2018-07-02,2018,Brazil,Mexico,196.30833794278942,0,0,0,H,FIFA World Cup
2018-07-02,2018,Belgium,Japan,148.73529262696388,0,0,0,H,FIFA World Cup
2018-07-03,2018,Sweden,Switzerland,-28.433822987391977,0,0,0,H,FIFA World Cup
2018-07-03,2018,Colombia,England,-7.301004124423571,0,0,0,D,FIFA World Cup
2018-07-06,2018,Uruguay,France,-55.387902228885196,0,0,0,A,FIFA World Cup
2018-07-06,2018,Brazil,Belgium,119.50357410634638,0,0,0,A,FIFA World Cup
2018-07-07,2018,Sweden,England,-72.35965178637184,0,0,0,A,FIFA World Cup
2018-07-07,2018,Russia,Croatia,-169.5253102264603,1,1,0,D,FIFA World Cup
2018-07-10,2018,France,Belgium,17.361702809658482,0,0,0,H,FIFA World Cup
2018-07-11,2018,Croatia,England,-46.332181723789745,0,0,0,H,FIFA World Cup
2018-07-14,2018,Belgium,England,46.514121069764315,0,0,0,H,FIFA World Cup
2018-07-15,2018,France,Croatia,102.90803510215869,0,0,0,H,FIFA World Cup
2022-11-20,2022,Qatar,Ecuador,-69.19368461117028,1,1,0,A,FIFA World Cup
2022-11-21,2022,Senegal,Netherlands,-174.9998796202417,0,0,0,A,FIFA World Cup
2022-11-21,2022,England,Iran,59.15007699677358,0,0,0,H,FIFA World Cup
2022-11-21,2022,United States,Wales,57.21533939441383,0,0,0,D,FIFA World Cup
2022-11-22,2022,Argentina,Saudi Arabia,323.0714554079493,0,0,0,A,FIFA World Cup
2022-11-22,2022,Mexico,Poland,63.673839944064184,0,0,0,D,FIFA World Cup
2022-11-22,2022,Denmark,Tunisia,143.15359601549403,0,0,0,D,FIFA World Cup
2022-11-22,2022,France,Australia,181.457438925921,0,0,0,H,FIFA World Cup
2022-11-23,2022,Germany,Japan,88.43970100111119,0,0,0,A,FIFA World Cup
2022-11-23,2022,Spain,Costa Rica,222.4663861151637,0,0,0,H,FIFA World Cup
2022-11-23,2022,Morocco,Croatia,-76.40386486164084,0,0,0,D,FIFA World Cup
2022-11-23,2022,Belgium,Canada,197.2702544881463,0,0,0,H,FIFA World Cup
2022-11-24,2022,Switzerland,Cameroon,177.61091451672405,0,0,0,H,FIFA World Cup
2022-11-24,2022,Brazil,Serbia,281.1614791174002,0,0,0,H,FIFA World Cup
2022-11-24,2022,Uruguay,South Korea,58.070218850554284,0,0,0,D,FIFA World Cup
2022-11-24,2022,Portugal,Ghana,255.46852328149475,0,0,0,H,FIFA World Cup
2022-11-25,2022,Qatar,Senegal,-81.53674755921202,1,1,0,A,FIFA World Cup
2022-11-25,2022,Netherlands,Ecuador,158.43946228505956,0,0,0,D,FIFA World Cup
2022-11-25,2022,Wales,Iran,-62.73854307939064,0,0,0,A,FIFA World Cup
2022-11-25,2022,England,United States,129.3980193101629,0,0,0,D,FIFA World Cup
2022-11-26,2022,Poland,Saudi Arabia,29.082866472632986,0,0,0,H,FIFA World Cup
2022-11-26,2022,Argentina,Mexico,168.34307261514004,0,0,0,H,FIFA World Cup
2022-11-26,2022,Tunisia,Australia,-1.3925545219728974,0,0,0,A,FIFA World Cup
2022-11-26,2022,France,Denmark,91.74231086481495,0,0,0,H,FIFA World Cup
2022-11-27,2022,Japan,Costa Rica,107.97367343331143,0,0,0,A,FIFA World Cup
2022-11-27,2022,Spain,Germany,106.46291776596877,0,0,0,D,FIFA World Cup
2022-11-27,2022,Belgium,Morocco,204.30770572666802,0,0,0,A,FIFA World Cup
2022-11-27,2022,Croatia,Canada,80.15983954888725,0,0,0,H,FIFA World Cup
2022-11-28,2022,Cameroon,Serbia,-127.78171246158468,0,0,0,D,FIFA World Cup
2022-11-28,2022,Brazil,Switzerland,230.0171227224139,0,0,0,H,FIFA World Cup
2022-11-28,2022,South Korea,Ghana,150.07275308755447,0,0,0,A,FIFA World Cup
2022-11-28,2022,Portugal,Uruguay,68.89774004071569,0,0,0,H,FIFA World Cup
2022-11-29,2022,Ecuador,Senegal,27.760706375010614,0,0,0,A,FIFA World Cup
2022-11-29,2022,Qatar,Netherlands,-309.5346211852652,1,1,0,A,FIFA World Cup
